id,screen_name,date,link,text,source,sent_bear,sent_neut,sent_bull,matched_tickers,price_move
892319690298720256,BenSasse,2017-08-01 05:42:47-04:00,https://www.twitter.com/BenSasse/statuses/892319690298720256,only on weekends https://twitter.com/Thomas_Zwilling/status/891862806529806336 QT @Thomas_Zwilling I was unaware that @BenSasse played the drums for The Breeders. https://www.youtube.com/watch?v=fxvkI9MTQw4,Twitter for Android,0.9991427659988404,0.0007316464325413,0.0001255897514056,GOOGL,neutral
892353886589116417,marcorubio,2017-08-01 07:58:40-04:00,https://www.twitter.com/marcorubio/statuses/892353886589116417,The @NCAA is out of control. They ruled Central Florida kicker ineligible over YouTube videos https://usat.ly/2vmPr20,Twitter for iPad,0.9996600151062012,6.744841084582731e-05,0.0002725693921092,GOOGL,neutral
892346542807494656,senorrinhatch,2017-08-01 07:29:29-04:00,https://www.twitter.com/senorrinhatch/statuses/892346542807494656,"Yesterday, for the second time in two weeks, @POTUS applied direct pressure on Maduro to release Josh Holt.. https://instagram.com/p/BXPJ_lBD2It/ #utpol http://pbs.twimg.com/media/DGJAcqpXUAANXbG.jpg",Twitter for iPhone,0.9996010661125184,0.0002653210540302,0.0001336091663688,META,neutral
892384624504168448,RepDrewFerguson,2017-08-01 10:00:48-04:00,https://www.twitter.com/RepDrewFerguson/statuses/892384624504168448,Thank you to Grace for interning in my district office this summer. I appreciate your hard work to assist the people of #GA03 http://pbs.twimg.com/media/DGJjEVIXgAAIKW-.jpg,Twitter Web Client,0.9953173398971558,0.0046004066243767,8.21944122435525e-05,MSFT,neutral
892383246620774400,JohnKDelaney,2017-08-01 09:55:20-04:00,https://www.twitter.com/JohnKDelaney/statuses/892383246620774400,Good words from one of the great entrepreneurs of our generation. https://twitter.com/stevecase/status/892366064776089601 QT @SteveCase TODAY is #StartupDay! Let's all thank entrepreneurs across country creating jobs &amp; opportunity… https://www.instagram.com/p/BXQG9K5gNOc/,Twitter for iPhone,0.4566750526428222,0.5432159304618835,0.0001090118748834,META,neutral
892379167978913792,repjoecrowley,2017-08-01 09:39:07-04:00,https://www.twitter.com/repjoecrowley/statuses/892379167978913792,Follow my YouTube channel to stay up-to-date. Click here to subscribe ↓ https://www.youtube.com/subscription_center?add_user=repjoecrowley http://pbs.twimg.com/tweet_video_thumb/DGJeGmjXUAA6t65.jpg https://video.twimg.com/tweet_video/DGJeGmjXUAA6t65.mp4,TweetDeck,0.9999138116836548,8.073482604231685e-05,5.4636270760966e-06,GOOGL,neutral
892376879000375296,JECDems,2017-08-01 09:30:02-04:00,https://www.twitter.com/JECDems/statuses/892376879000375296,Wages are tanking since @POTUS took office. More in our weekly snapshot: http://bit.ly/2weBGPy http://pbs.twimg.com/media/DGF_1rxXsAAraiD.jpg,TweetDeck,0.9999712705612184,2.559668428148143e-05,3.123895112366881e-06,MSFT,neutral
892376343710765057,SenRubioPress,2017-08-01 09:27:54-04:00,https://www.twitter.com/SenRubioPress/statuses/892376343710765057,I’m about to go live on Facebook. Tune in here: http://bit.ly/2mezQNV,Twitter Web Client,0.9993448853492736,0.0001485164684709,0.0005065299919806,META,neutral
892399874397884416,SenJeffMerkley,2017-08-01 11:01:24-04:00,https://www.twitter.com/SenJeffMerkley/statuses/892399874397884416,"@SierraClub As @RealDonaldTrump tries to move us backwards in the fight to #ActOnClimate, it’s up to us to pick up the slack and take charge!",Twitter Web Client,0.9998542070388794,8.247305959230289e-05,6.328484596451744e-05,CRM,neutral
892399694730625025,GrassleyPress,2017-08-01 11:00:41-04:00,https://www.twitter.com/GrassleyPress/statuses/892399694730625025,Sen. Grassley welcomes this news: Whistleblower gets job in new accountability office at Trumps' VA http://www.washingtonexaminer.com/article/2630170 via @dcexaminer,Twitter Web Client,0.8137009739875793,0.1861782371997833,0.0001207745081046,MSFT,neutral
892399513691979776,GrassleyPress,2017-08-01 10:59:58-04:00,https://www.twitter.com/GrassleyPress/statuses/892399513691979776,Grassley Welcomes VA's Hiring of Whistleblower for New Whistleblower Office | Chuck Grassley https://www.grassley.senate.gov/news/news-releases/grassley-welcomes-vas-hiring-whistleblower-new-whistleblower-office#.WYCXZve0Q-E.twitter,Twitter Web Client,0.9999831914901732,1.4014092812431043e-05,2.694403292480274e-06,MSFT,neutral
892398069995720705,BarbaraLeeSays,2017-08-01 10:54:14-04:00,https://www.twitter.com/BLFF_org/statuses/892397398462537728,"RT @BLFF_org .@nytdavidbrooks definition of an “ideal man” is every woman that runs for office: magnanimous, confident, assertive, &amp; courageous. https://twitter.com/rtraister/status/892377793958469635",Twitter for iPhone,0.9999587535858154,2.651815884746611e-05,1.4826136975898407e-05,MSFT,neutral
