text,created_at,date,likeCount,media,outlinks,quoteCount,quotedTweet,replyCount,retweetCount,retweetedTweet,url,id,conversationId,sent_bear,sent_neut,sent_bull,matched_tickers,price_move
"With just over two weeks to go until the midterm elections, I’m thanking Democratic staff and volunteers who are getting out the vote and discussing the progress we’ve made under our leadership—including 10 million jobs since I came into office. Tune in.
https://t.co/e0Jv5ACv3c",Mon Oct 24 17:28:03 +0000 2022,2022-10-24 17:28:03+00:00,3576,,['https://twitter.com/i/broadcasts/1yNxaNDWonRKj'],61,,1190,848,,https://twitter.com/JoeBiden/status/1584597601407705088,1584597601407705088,1584597601407705088,0.984662652015686,0.0153132816776633,2.401568053755909e-05,MSFT,down
"Let's look at the facts: The federal deficit went up every single year in the Trump administration.

On my watch, things have been different. The deficit has come down both years that I've been in office.",Sat Oct 22 15:00:15 +0000 2022,2022-10-22 15:00:15+00:00,29137,,[],848,,11135,7623,,https://twitter.com/JoeBiden/status/1583835632396251137,1583835632396251137,1583835632396251137,0.9470831155776978,4.122811515117064e-05,0.0528756380081176,MSFT,up
"In my first year in office, I protected more lands and water than any American president since John F. Kennedy. After the previous administration rolled back protections, I restored full protections to three national monuments in Utah and New England.",Thu Oct 13 20:45:02 +0000 2022,2022-10-13 20:45:02+00:00,17095,,[],230,,3800,2804,,https://twitter.com/JoeBiden/status/1580660907205480448,1580660907205480448,1580660907205480448,0.9915946125984192,0.0053915581665933,0.0030138117726892,MSFT,neutral
"When I came to office, the economy was flat on its back—millions out of work.

So we acted quickly. We passed the American Rescue Plan, which lifted this nation from economic crisis to economic recovery. And every single Republican voted against it.",Sat Sep 24 23:01:00 +0000 2022,2022-09-24 23:01:00+00:00,29813,,[],836,,8440,6128,,https://twitter.com/JoeBiden/status/1573809756929679362,1573809756929679362,1573809756929679362,0.0366991348564624,0.081192210316658,0.8821086287498474,MSFT,neutral
Every single Republican in Congress voted against lowering costs for Americans—now every single American needs to return the favor and vote them out of office. https://t.co/xT78xqO1g7,Fri Sep 16 22:00:01 +0000 2022,2022-09-16 22:00:01+00:00,23512,"[Video(thumbnailUrl='https://pbs.twimg.com/media/Fcx2UV_XgAArafi.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1570428195152740360/vid/720x720/_07vlS7LzLC83Vm7.mp4?tag=14', bitrate=1280000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1570428195152740360/vid/540x540/Fn_N959IKSaA-hQx.mp4?tag=14', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1570428195152740360/pl/oTBgRyOjOTcHBZYR.m3u8?tag=14&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1570428195152740360/vid/320x320/LkB0nUxXUCqU2D6S.mp4?tag=14', bitrate=432000)], duration=25.0, type='video')]",[],487,,3695,6486,,https://twitter.com/JoeBiden/status/1570895307940003840,1570895307940003840,1570895307940003840,0.9976723790168762,0.0022080689668655,0.0001195239892695,MSFT,neutral
"We're bringing back U.S. manufacturing jobs—680,000 jobs since I took office.",Fri Sep 16 18:54:01 +0000 2022,2022-09-16 18:54:01+00:00,19931,,[],256,,3152,3342,,https://twitter.com/JoeBiden/status/1570848495900233732,1570848495900233732,1570848495900233732,0.9999728202819824,2.526691332604969e-06,2.469744140398689e-05,MSFT,neutral
"Every Republican in Congress voted against lowering prescription drug costs, health care costs, tackling the climate crisis, lowering energy costs, creating good-paying jobs, and a fairer tax system.

Every single American needs to return the favor and vote them out of office.",Sat Sep 10 21:15:01 +0000 2022,2022-09-10 21:15:01+00:00,60374,,[],905,,6311,14518,,https://twitter.com/JoeBiden/status/1568709652774526977,1568709652774526977,1568709652774526977,0.8917919397354126,0.1080103516578674,0.0001977210049517,MSFT,down
"Since I took office, our economy has created nearly 10 million new jobs and 668,000 manufacturing jobs. Proof that ‘Made in America’ is no longer just a slogan. It's a reality today—and it's just beginning.",Sat Sep 10 00:01:00 +0000 2022,2022-09-10 00:01:00+00:00,25577,,[],377,,4998,4415,,https://twitter.com/JoeBiden/status/1568389038331277312,1568389038331277312,1568389038331277312,0.7814154624938965,0.1936985105276107,0.0248860325664281,MSFT,down
"Since I took office, we've been committed to making sure every parent has the opportunity to protect their children from COVID-19.

Starting this week, you can go to https://t.co/EwdQ2dXioe and find information and appointments near you. https://t.co/RRO6auk1j7",Wed Jun 22 23:52:00 +0000 2022,2022-06-22 23:52:00+00:00,5151,"[Video(thumbnailUrl='https://pbs.twimg.com/media/FV4B7ExWYAE6OO3.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1539669307898171393/vid/320x320/4zDW-H1NFiwbuGSj.mp4?tag=14', bitrate=432000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1539669307898171393/vid/540x540/UcCnjXJ30JLk2b3_.mp4?tag=14', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1539669307898171393/pl/qwdIpAYqsiTz6qyO.m3u8?tag=14&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1539669307898171393/vid/720x720/-4DOPo8PiBLIN6KA.mp4?tag=14', bitrate=1280000)], duration=17.083, type='video')]",['http://vaccines.gov'],207,,2024,840,,https://twitter.com/JoeBiden/status/1539758130313056257,1539758130313056257,1539758130313056257,0.9985814094543456,0.0014015672495588,1.6989250070764683e-05,MSFT,up
"In May, the economy ​​added 390,000 jobs, bringing the total to 8.7 million jobs created since I took office—an all-time record.",Fri Jun 17 22:00:17 +0000 2022,2022-06-17 22:00:17+00:00,23246,,[],476,,4026,3794,,https://twitter.com/JoeBiden/status/1537918075978145795,1537918075978145795,1537918075978145795,0.5511415600776672,0.4481928944587707,0.0006655543111264,MSFT,neutral
